xml:id,wikidata,name_alias,forename,surname,birth_date,birth_place,death_date,death_place,type,role,commentaire,validation,compte,birth_place_qid,death_place_qid
Quirinus,https://www.wikidata.org/wiki/Q320333,,,Quirinus,,,,,personnage mythologique,"ancien dieu romain, faisant partie avec Jupiter et Mars de la triade précapitoline",,4,11,,
JosephDArimathie,https://www.wikidata.org/wiki/Q271474,,Joseph d’,Arimathie,100,Q2558868,100,,personnage biblique,personnage du Nouveau Testament,,4,11,Q2558868,
Xenocrate,https://www.wikidata.org/wiki/Q214121,,,Xénocrate,-396,Q337381,-314,Q1524,"auteur(e) de textes,philosophe",philosophe antique,,4,11,Q337381,Q1524
AgnoloDiVentura,http://www.wikidata.org/entity/Q374428,Agnolo da Siena,Agnolo di,Ventura,1290,Sienne,1349,,"artiste,sculpteur,architecte",architecte et sculpteur italien,,4,11,Q2751,
MaertenDeVos,http://www.wikidata.org/entity/Q555022,,Maerten de,Vos,1532,Anvers,1603-12-04,Anvers,"artiste,peintre",peintre et dessinateur flamand,,4,11,Q12892,Q12892
EverhardJabach,https://www.wikidata.org/wiki/Q103934,,Everhard,Jabach,1618-07-10,Cologne,1695-03-06,Paris,mécène,banquier français d'origine allemande,,4,11,Q365,Q90
Charlemagne,https://www.wikidata.org/wiki/Q3044,Charlemagne,,Charlemagne,0748-04-02,Q146246,0814-01-28,AixLaChapelle,personnage politique,empereur d'Occident et roi des Francs,,4,11,Q146246,Q1017
FerdinandII,https://www.wikidata.org/wiki/Q12860,,,Ferdinand II,1452-03-10,Q29345592,1516-01-23,Q43114927,personnage politique,monarque,,4,11,Q29345592,Q43114927
FrancescoBarberini,https://www.wikidata.org/wiki/Q534683,,Francesco,Barberini,1597-09-23,Florence,1679-12-10,Rome,personnage du clergé,cardinal italien (1597-1679),,4,11,Q2044,Q220
Esope,https://www.wikidata.org/wiki/Q43423,,,Esope,-620,Q1317936,-564,Delphes,auteur(e) de textes,fabuliste grec de l'Antiquité,,4,11,Q1317936,Q75459
CristoforoRoncalli,http://www.wikidata.org/entity/Q1091136,il Pomarancio,Cristoforo,Roncalli,1552-09-08,Pomarance,1626-05-14,Rome,"artiste,peintre",peintre italien,,4,11,Q103201,Q220
JacquesStella,http://www.wikidata.org/entity/Q605799,,Jacques,Stella,1596,Lyon,1657-04-29,Paris,"artiste,peintre,graveur(euse)",peintre et graveur français,,4,11,Q456,Q90
CallirrhoeDeSicyone,https://www.wikidata.org/wiki/Q16937338,Kora de Sicyone,Callirrhoéde,Sicyone,,Sicyone,,,"personnage mythologique,artiste",fille du sculpteur Boutadès,,4,11,Q368628,
JacopoPalmaIlGiovane,http://www.wikidata.org/entity/Q651795,Palma il Giovane,Jacopo,di Antonio Negretti,1550,Venise,1628-10-17,Venise,"artiste,peintre",peintre italien,,4,11,Q641,Q641
SforzaMoroni,,,Sforza,Moroni,,,,,non identifié,,,2,11,,
AlphonseIEste,https://www.wikidata.org/wiki/Q188346,Alphonse I,,Este,1476-07-21,Ferrare,1534-10-31,Ferrare,"personnage politique,mécène","duc de Ferrare, Modène et de Reggio",,4,11,Q13362,Q13362
MasoFiniguerra,http://www.wikidata.org/entity/Q630165,,Maso,Finiguerra,1426,Florence,1464-08-23,Florence,"artiste,graveur(euse)",graveur italien (1426-1494),,4,11,Q2044,Q2044
AntonelloDeMessine,http://www.wikidata.org/entity/Q5594,,Antonello de,Messine,1430,Messine,1479-02,Venise,"artiste,peintre",peintre italien de la Renaissance (1430–1479),,4,11,Q13666,Q641
JacopoPalmaIlVecchio,http://www.wikidata.org/entity/Q9342,Palma il Vecchio,Jacomo,Nigretti de Lavalle,1480,Q101580,1528-07-30,Venise,"artiste,peintre",peintre italien,,4,11,Q101580,Q641
LeonIIIIsaurien,https://www.wikidata.org/wiki/Q31755,Léon III l'Isaurien,,Léon III,675,Q134703,0741-06-18,Constantinople,personnage politique,empereur byzantin de 717 à 741,,4,11,Q134703,Q16869
Domitien,https://www.wikidata.org/wiki/Q1423,,,Domitien,51-10-24,Rome,96-09-18,Rome,personnage politique,empereur romain de 81 à 96,,4,10,Q220,Q220
Atalante,https://www.wikidata.org/wiki/Q190323,,,Atalante,,,,,personnage mythologique,"personnage de la mythologie grecque, argonaute",,4,10,,
SebetoDaVerona,https://www.wikidata.org/wiki/Q23586325,,Sebeto da,Verona,1301,,,,"artiste,peintre",peintre italien,,4,10,,
AndreaDoria,https://www.wikidata.org/wiki/Q156521,Il Principe Doria,Andrea,Doria,1466-11-30,Q2119652,1560-11-25,Genes,"militaire,personnage politique",Amiral génois,,4,10,Q2119652,Q1449
Cresus,https://www.wikidata.org/wiki/Q184462,,,Crésus,-596,,,Sardes,"personnage mythologique,personnage politique",roi de Lydie et dernier souverain de la dynastie des Mermnades (vers 596-Vers 546 av. J.-C.),,4,10,,Q232615
FraBartolomeo,http://www.wikidata.org/entity/Q7780,Fra Bartolomeo,Baccio della,Porta,1472-03-28,Q13377,1517-10-31,Florence,"artiste,peintre",peintre italien,,4,10,Q13377,Q2044
JacopoBellini,http://www.wikidata.org/entity/Q313310,,Jacopo,Bellini,1400,Venise,1470,Venise,"artiste,peintre",peintre vénitien du XVe siècle,,4,10,Q641,Q641
EugeneIV,https://www.wikidata.org/wiki/Q167561,Eugene IV,Gabriele,Condulmer,1383,Venise,1447-02-23,Rome,pape,"207e pape de l'Église catholique, de 1431 à 1447",,4,10,Q641,Q220
Irene,https://www.wikidata.org/wiki/Q450528,Eirene,,Irene,-200,,,,"artiste,peintre",peintre grecque antique,,4,10,,
AegidiusSadeler,,,,,,,,,,"print publishers, art dealers, artist, publishers, engraver, dealers, draftsman",,2,10,,
GeorgeVilliers,https://www.wikidata.org/wiki/Q313817,Duc de Buckingham,George,Villiers,1592-08-28,Q23106,1628-08-23,Q72259,personnage politique,"politicien britannique, 1er duc de Buckingham",,4,10,Q23106,Q72259
Sarapis,https://www.wikidata.org/wiki/Q214554,Sérapis,,Sarapis,,,,,personnage mythologique,divinité gréco-égyptienne syncrétique créée à l'époque hellénistique par Ptolémée Ier,,4,10,,
CasparNetscher,http://www.wikidata.org/entity/Q217715,,Casper,Netscher,1639,Heidelberg,1684-01-15,LaHaye,"artiste,peintre",peintre hollandais,,4,10,Q2966,Q36600
Dejanire,https://www.wikidata.org/wiki/Q272000,,,Déjanire,,,,,personnage mythologique,"personnage de la mythologie grecque, épouse d'Héraclès",,4,10,,
HerodeI,https://www.wikidata.org/wiki/Q51672,Hérode Ier le Grand,,Herode,-74,Q208475,-4,Q5687,personnage politique,roi de Judée,,4,10,Q208475,Q5687
Judith,https://www.wikidata.org/wiki/Q26454627,,,Judith,,,,,personnage biblique,personnage biblique du Livre de Judith,,4,10,,
MarcusPorciusCato,https://www.wikidata.org/wiki/Q180081,Caton l'Ancien,Marcus Porcius,Cato,-234,Q754314,-149,Rome,"personnage politique,auteur(e) de textes","homme politique et écrivain romain, consul en 195 av. J.-C.",,4,10,Q754314,Q220
MarcelloVenusti,http://www.wikidata.org/entity/Q2716659,,Marcello,Venusti,1513,Q39081,1579-10-15,Rome,"artiste,peintre",peintre italien,,4,10,Q39081,Q220
Nembrot,https://www.wikidata.org/wiki/Q201861,,,Nembrot,-1751,,-1638,,personnage biblique,"personnage biblique du livre de la Genèse, fils de Cush, qui est le père des Ethiopiens",,4,10,,
PieroDellaFrancesca,http://www.wikidata.org/entity/Q5822,Piero della Francesca,Piero,di Benedetto de Franceschi,1415,Sansepolcro,1492-10-12,Sansepolcro,"artiste,peintre,mathématicien",artiste peintre et mathématicien italien,,4,10,Q52098,Q52098
Theodose,https://www.wikidata.org/wiki/Q46696,,,Theodose,0347-01-11,Q649612,0395-01-17,Milan,personnage politique,empereur romain de 379 à 395,,4,10,Q649612,Q490
ApolloniosdePerga,https://www.wikidata.org/wiki/Q180109,,Apollonios de,Perga,-262,Q719815,-190,Alexandrie,mathématicien,"géomètre et astronome de la Grèce antique, connu pour ses traités sur les sections coniques",,4,10,Q719815,Q87
Aquilon,https://www.wikidata.org/wiki/Q2859290,,,Aquilon,,,,,personnage mythologique,"Dieu romain des vents du Nord, froids et violents",,4,10,,
AlessandroBonvicino,http://www.wikidata.org/entity/Q954504,Moretto da Brescia,Alessandro,Bonvicino,1498,Brescia,1554,Q111639,"artiste,peintre",peintre italien,,4,10,Q6221,Q111639
NicolasTournier,http://www.wikidata.org/entity/Q2631153,,Nicolas,Tournier,1590-07-12,Q154715,1639-01,Toulouse,"artiste,peintre",peintre français,,4,10,Q154715,Q7880
NabuchodonosorII,https://www.wikidata.org/wiki/Q12591,,,Nabuchodonosor II,-642,Q168518,-561,Babylone,personnage politique,roi de Babylone entre 604 av. J.-C. et 562 av. J.-C.,,4,10,Q168518,Q5684
PhilippeIIMacedoine,https://www.wikidata.org/wiki/Q130650,Philippe II de Macedoine,Philippe II de,Macédoine,-385,,-336,Q16963755,personnage politique,"roi de Macédoine, père d'Alexandre le Grand",,4,10,,Q16963755
ChristineDeSuede,https://www.wikidata.org/wiki/Q52937,Christine de Suede,Christine de,Suède,1626-12-07,Q1754,1689-04-09,Rome,personnage politique,reine de Suède de 1632 à 1654,,4,10,Q1754,Q220
Osiris,https://www.wikidata.org/wiki/Q46491,,,Osiris,,,,,personnage mythologique,ancien dieu égyptien,,4,10,,
Laban,https://www.wikidata.org/wiki/Q840401,,,Laban,,,,,personnage biblique,personnage de la Bible,,4,10,,
Penelope,https://www.wikidata.org/wiki/Q165769,,,Pénélope,,,,,personnage mythologique,personnage de la mythologie grecque,,4,10,,
FrancoisMarieDellaRovere,https://www.wikidata.org/wiki/Q555015,,François-Marie Ier della,Rovere,1490-03-22,Q124925,1538-10-20,Pesaro,personnage politique,condottiere italien,,4,10,Q124925,Q13134
QuintenMetsys,http://www.wikidata.org/entity/Q314275,,Quentin,Metsys,1466,Louvain,1530-09-14,Anvers,"artiste,peintre",peintre flamand (1466-1530),,4,10,Q118958,Q12892
AdamElsheimer,http://www.wikidata.org/entity/Q310285,,Adam,Elsheimer,1578-03-18,Francfort,1610-12-11,Rome,"artiste,peintre",peintre allemand,,4,9,Q1794,Q220
Discordia,https://www.wikidata.org/wiki/Q3030152,Eris (en grec),,Discordia,,,,,personnage mythologique,Déesse romaine,,4,9,,
Columelle,https://www.wikidata.org/wiki/Q318317,,,Columelle,4,Cadix,70,Tarente,auteur(e) de textes,agronome romain,,4,9,Q15682,Q13498
Lucrece,https://www.wikidata.org/wiki/Q229432,,,Lucrèce,-600,,-509,Rome,"personnage mythologique,personnage politique",femme romaine dont le viol conduit à la fin de la monarchie romaine,,4,9,,Q220
CharlesIX,https://www.wikidata.org/wiki/Q134309,Charles IX,Charles-Maximilien,de France,1550-06-27,Q185075,1574-05-30,Q193819,personnage politique,roi de France de 1560 à 1574,,4,9,Q185075,Q193819
AndreaGritti,https://www.wikidata.org/wiki/Q345506,Doge Gritti,,Gritti,1455-04-17,Q46870,1538-12-28,Venise,personnage politique,77e doge de Venise,,4,9,Q46870,Q641
ToussaintDubreuil,http://www.wikidata.org/entity/Q386127,,Toussaint,Dubreuil,1561,Paris,1602-11-22,Paris,"artiste,peintre",peintre français,,4,9,Q90,Q90
PieroDiCosimo,http://www.wikidata.org/entity/Q280851,Piero di Cosimo,Pietro,di Lorenzo di Chimenti,1462-01-02,Florence,1522-04-12,Florence,"artiste,peintre",peintre italien,,4,9,Q2044,Q2044
CharlesIIILorraine,https://www.wikidata.org/wiki/Q505040,Charles III de Lorraine,Charles III de,Lorraine,1543-02-18,Nancy,1608-05-14,Nancy,personnage politique,duc de Lorraine et de Bar,,4,9,Q40898,Q40898
Heliogabale,https://www.wikidata.org/wiki/Q1762,Bassien,,Héliogabale,0203-03-20,Rome,0222-03-11,Rome,personnage politique,empereur romain de 218 à 222,,4,9,Q220,Q220
Silene,https://www.wikidata.org/wiki/Q464091,,,Silène,,,,,personnage mythologique,divinité de la mythologie grecque,,4,9,,
Timomaque,https://www.wikidata.org/wiki/Q7806922,,,Timomaque,,Byzance,-100,,"artiste,peintre","peintre antique, contemporain de Jules César",,4,9,Q23725,
Simandio,,,,Simandio,,,,,non identifié,,,2,9,,
Tantale,https://www.wikidata.org/wiki/Q182101,,,Tantale,,,,,personnage mythologique,"héros de la mythologie grecque, fils de Zeus",,4,9,,
RafaelleBorghini,,,Rafaelle,Borghini,,,,,non identifié,,,2,9,,
PietroTesta,http://www.wikidata.org/entity/Q2155480,il Lucchesino,Pietro,Testa,1611,Lucques,1650,Rome,"artiste,peintre,graveur(euse)",peintre et graveur italien,,4,9,Q13373,Q220
HannibalBarca,https://www.wikidata.org/wiki/Q36456,,Hannibal,Barca,-247,Carthage,-183,Q206116,personnage politique,général et homme d'État carthaginois,,4,9,Q6343,Q206116
VincenzoSeregni,http://www.wikidata.org/entity/Q4013515,,Vincenzo,Seregni,1504,Q40813,1594,Milan,"artiste,architecte",architecte italien[,,4,9,Q40813,Q490
Antinous,https://www.wikidata.org/wiki/Q171876,,,Antinoüs,111,Q200951,130-10,Nil,muse,favori et amant de l'empereur romain Hadrien (vers 111-vers 130),,4,9,Q200951,Q3392
SaintEtienne,https://www.wikidata.org/wiki/Q161775,,,Saint Etienne,1,Grece,36,Jerusalem,saint(e),martyr chrétien,,4,9,Q41,Q1218
ClementVIII,https://www.wikidata.org/wiki/Q170395,Clément VIII,Ippolito,Aldobrandini,1536-02-24,Fano,1605-03-03,Rome,pape,"231e pape de l'Église catholique, de 1592 à 1605",,4,9,Q13142,Q220
Solinus,https://www.wikidata.org/wiki/Q520487,Gaius Julius Solinus,Gaius Julius,Solinus,300,Italie,,Rome,auteur(e) de textes,grammairien et compilateur d'expression latine,,4,9,Q38,Q220
FraAngelico,http://www.wikidata.org/entity/Q5664,Fra Angelico,Guido di,Pietro,1390,Q82880,1455-02-18,Rome,"artiste,peintre",peintre italien dominicain du XVe siècle,,4,9,Q82880,Q220
Tertullien,https://www.wikidata.org/wiki/Q174929,,,Tertullien,160,Q23670612,240,Q23670612,auteur(e) de textes,théologien chrétien d'Afrique du nord,,4,9,Q23670612,Q23670612
Timarete,https://www.wikidata.org/wiki/Q537797,,,Timarete,-420,Athenes,-400,Q1524,"artiste,peintre",Femme-peintre de la Grèce antique,,4,9,Q844930,Q1524
LodovicoDomenichi,https://www.wikidata.org/wiki/Q3257803,,Lodovico,Domenichi,1515,Plaisance,1564-08-29,Pise,auteur(e) de textes,écrivain italien de la Renaissance,,4,9,Q13329,Q13375
GiuseppeArcimboldo,http://www.wikidata.org/entity/Q7751,,Giuseppe,Arcimboldo,1527,Milan,1593-07-11,Milan,"artiste,peintre",peintre Maniériste italien (1527–1593),,4,8,Q490,Q490
AlexandreFarnese,https://www.wikidata.org/wiki/Q312903,,Alexandre,Farnese,1545-08-27,Rome,1592-12-03,Arras,personnage politique,"duc de Parme et Plaisance, duc de Castro, homme de gouvernement et militaire au service de l'Espagne",,4,8,Q220,Q131329
Polynice,https://www.wikidata.org/wiki/Q334817,Polinice,,Polynice,,,,,personnage mythologique,personnage de la mythologie grecque,,4,8,,
AndreaTafiDiRico,,,,,,,,,,"artist, mosaicists, painter",,2,8,,
FrancoisDuJon,https://www.wikidata.org/wiki/Q2951068,Fransz ou Franciscus Junius,François du,Jon,1591-01-29,Heidelberg,1677-11-19,Windsor,"auteur(e) de textes,personnage du clergé","Pasteur protestant, érudit et philologue",,4,8,Q2966,Q464955
JacobBunel,http://www.wikidata.org/entity/Q6118432,,Jacob,Bunel,1558-10-06,Blois,1614-10-14,Paris,"artiste,peintre",peintre,,4,8,Q160927,Q90
FedericoBorromeo,https://www.wikidata.org/wiki/Q469171,,Federico,Borromeo,1564-08-18,Milan,1631-09-21,Milan,personnage du clergé,cardinal de l'Église catholique romaine,,4,8,Q490,Q490
MartinV,https://www.wikidata.org/wiki/Q169612,Martin V,Odo,Colonna,1369,Q242675,1431-02-20,Rome,pape,"206e pape de l'Église catholique, de 1417 à 1431",,4,8,Q242675,Q220
GuidobaldoIMontefeltro,https://www.wikidata.org/wiki/Q969797,,Guidobaldo Ier de,Montefeltro,1472-01-17,Gubbio,1508-04-10,Q190646,personnage politique,comte de Montefeltro et le troisième duc d'Urbino,,4,8,Q20458,Q190646
Agar,https://www.wikidata.org/wiki/Q214617,,,Agar,-2000,Q11768,-2000,,personnage biblique,"servante de Sarah, la femme d'Abraham dans l'Ancien Testament",,4,8,Q11768,
RaphaelTrichetDuFresne,https://www.wikidata.org/wiki/Q19754092,Rafaelle du Fresne,Raphaël,Trichet du Fresne,1611-04-27,Bordeaux,1661-06-04,Paris,auteur(e) de textes,érudit français,,4,8,Q1479,Q90
Justinien,https://www.wikidata.org/wiki/Q41866,Justinien Ier,,Justinien,0482-05-11,Q119611049,0565-11-14,Constantinople,personnage politique,empereur byzantin de 527 à 565,,4,8,Q119611049,Q16869
Eumarus,https://www.wikidata.org/wiki/Q9256152,,,Eumarus,,,,,"artiste,peintre",peintre antique,,4,8,,
PaoloRomano,http://www.wikidata.org/entity/Q2469612,Paolo Romano,Paolo,Tacconi,1445,Q128206,1470,Rome,"artiste,sculpteur",sculpteur et orfèvre italien,,4,8,Q128206,Q220
LorenzoMonaco,https://www.wikidata.org/wiki/Q155376,,Lorenzo,Monaco,1370,Sienne,1425,Florence,"artiste,peintre",peintre italien,,4,8,Q2751,Q2044
GiovambattistaRicasoli,https://www.wikidata.org/wiki/Q68910321,,Giovambattista,Ricasoli,,,1572-02-23,Pistoia,personnage du clergé,évêque catholique,,4,8,,Q13376
JanGossaert,http://www.wikidata.org/entity/Q346952,Jan Mabuse,Jan,Gossaert,1478,Maubeuge,1532-10-01,Anvers,"artiste,peintre,graveur(euse)","peintre, dessinateur et graveur originaire de l'ancien comté de Hainaut (Pays-Bas bourguignons) (1478–1532)",,4,8,Q138648,Q12892
JacquesBlanchard,http://www.wikidata.org/entity/Q385845,,Jacques,Blanchard,1600-10-01,Paris,1638-11-10,Paris,"artiste,peintre,graveur(euse)",peintre et graveur français (1600-1638),,4,8,Q90,Q90
GherardoStarnina,http://www.wikidata.org/entity/Q2254774,,Gherardo,Starnina,1354,Florence,1413,Florence,"artiste,peintre",peintre italien,,4,8,Q2044,Q2044
TarquinAncien,https://www.wikidata.org/wiki/Q212671,Tarquin l'Ancien,Lucius Tarquinius,Priscus,-700,Q21580466,-578,Rome,personnage politique,cinquième roi de Rome,,4,8,Q21580466,Q220
RaymondLafage,http://www.wikidata.org/entity/Q3420968,,Raymond,Lafage,1656-10-01,Q687797,1684-11-04,Lyon,"artiste,graveur(euse)",dessinateur et graveur français,,4,8,Q687797,Q456
Panainos,https://www.wikidata.org/wiki/Q715817,"Panaeus, Pénée",,Panainos,-450,,-500,,"artiste,peintre",peintre antique,,4,8,,
Anfione,https://www.wikidata.org/wiki/Q3616665,,Amphion de,Cnossos,-450,Cnossos,-500,,"artiste,sculpteur",sculpteur de la Grèce antique,,4,8,Q173527,
UgoDaCarpi,http://www.wikidata.org/entity/Q1967967,,Ugo da,Carpi,1480,Carpi,1523-07-20,Rome,"artiste,peintre,graveur(euse)",graveur et peintre italien,,4,8,Q100041,Q220
FrancescoMelzi,http://www.wikidata.org/entity/Q469379,,Francesco,Melzi,1492,Milan,1570,Q42612,"artiste,peintre",peintre italien,,4,8,Q490,Q42612
CimonDeCleones,https://www.wikidata.org/wiki/Q5120160,,Cimon de,Cléones,-550,Corinthe,-500,,"artiste,peintre",peintre antique,,4,8,Q103011,
Thesee,https://www.wikidata.org/wiki/Q1320718,,,Thésée,,,,,personnage mythologique,personnage de la mythologie grecque,,4,8,,
BlaiseDeVigenere,https://www.wikidata.org/wiki/Q262880,,Blaise de,Vigenère,1523-04-05,Q321486,1596-02-19,Paris,personnage politique,diplomate français du XVIe siècle,,4,8,Q321486,Q90
Janus,https://www.wikidata.org/wiki/Q167685,,,Janus,,,,,personnage mythologique,divinité romaine,,4,8,,
Appien,https://www.wikidata.org/wiki/Q190368,,,Appien,95,Alexandrie,165,Rome,auteur(e) de textes,historien grec de l'époque romaine,,4,8,Q87,Q220
Proserpine,https://www.wikidata.org/wiki/Q14515330,,,Proserpine,,,,,personnage mythologique,divinité de la mythologie romaine,,4,8,,
LorenzoCosta,http://www.wikidata.org/entity/Q357807,Lorenzo Costa le Vieux,Lorenzo,Costa,1460,Ferrare,1535-03-05,Mantoue,"artiste,peintre",peintre italien (1460–1535),,4,8,Q13362,Q6247
ConstanceII,https://www.wikidata.org/wiki/Q46418,,,Constance II,0317-08-07,Q833060,0361-11-03,Cilicie,personnage politique,empereur romain de 337 à 361,,4,8,Q833060,Q620864
BattistaFranco,http://www.wikidata.org/entity/Q976786,Battista Franco,Giovanni Battista,Franco,1510,Venise,1561,Venise,"artiste,peintre,graveur(euse)",peintre et graveur italien (c. 1510 - 1561),,4,8,Q641,Q641
HenriIII,https://www.wikidata.org/wiki/Q53448,Henri III,,Henri III,1551-09-19,Q201428,1589-08-02,Q662491,personnage politique,roi de France de 1574 à 1589,,4,8,Q201428,Q662491
PieIV,https://www.wikidata.org/wiki/Q161983,Pie IV,Giovanni Angelo,Medici,1499-03-31,Milan,1565-12-09,Rome,pape,"224e pape de l’Église catholique, de 1559 à 1565",,4,8,Q490,Q220
Erasmus,https://www.wikidata.org/wiki/Q43499,,Erasme de,Rotterdam,1466-10-28,Q34370,1536-07-12,Basel,auteur(e) de textes,écrivain humaniste et théologien néerlandais,,4,8,Q34370,Q78
FrancescoBassano,http://www.wikidata.org/entity/Q705079,Francesco Bassano le Jeune,Francesco Giambattista da,Ponte,1549-01-07,BassanoDelGrappa,1592-07-04,Venise,"artiste,peintre",peintre italien,,4,8,Q47094,Q641
TaddeoTaddei,https://www.wikidata.org/wiki/Q930159,,Taddeo,Taddei,1470,Florence,1529,,mécène,mécène et humaniste italien,,4,8,Q2044,
Thetis,https://www.wikidata.org/wiki/Q184437,,,Thetis,,,,,personnage mythologique,Néréide,,4,8,,
FrancescoDelGiocondo,https://www.wikidata.org/wiki/Q1395822,,Francesco,Del Giocondo,1460,Florence,1542,Florence,personnage historique,marchand florentin,,4,8,Q2044,Q2044
SixteV,https://www.wikidata.org/wiki/Q133350,Sixte V,Felice,Peretti di Montalto,1521-12-13,Q56071,1590-08-27,Rome,pape,"227e pape de l'Église catholique, de 1585 à 1590",,4,8,Q56071,Q220
ManiusValeriusMaximusCorvinusMessalla,https://www.wikidata.org/wiki/Q715220,,Manius Valerius Maximus,Messalla Corvinus,-0300-00-00,Q1747689,-300,,personnage politique,consul romain,,4,8,Q1747689,
MaximilienI,https://www.wikidata.org/wiki/Q150726,Maximilien I,,Maximilien Ier,1459-03-22,Q131612,1519-01-12,Q178582,personnage politique,"empereur du Saint-Empire, archiduc d'Autriche",,4,8,Q131612,Q178582
LeoneLeoni,http://www.wikidata.org/entity/Q722092,Leone Aretino,Leone,Leoni,1509,Q47425,1590-07-22,Milan,"artiste,sculpteur",sculpteur maniériste italien,,4,8,Q47425,Q490
Sadeler,http://www.wikidata.org/entity/Q12050805,,,Sadeler,,,,,"artiste,graveur(euse),famille",famille de graveurs flamands,,4,8,,
FrancescoSforza,https://www.wikidata.org/wiki/Q310536,,Francesco,Sforza,1401-07-23,Q103244,1466-03-08,Milan,"personnage politique,militaire","chef de guerre italien, devenu duc de Milan (1401-1466)",,4,7,Q103244,Q490
CyrusII,https://www.wikidata.org/wiki/Q8423,,,Cyrus II,-600,Q569107,-530,Q483159,personnage politique,fondateur de l’Empire perse,,4,7,Q569107,Q483159
BenoitIX,https://www.wikidata.org/wiki/Q178799,Benoit IX,Théophylacte de,Tusculum,,Rome,1055,Grottaferrata,pape,pape de l’Église catholique romaine,,4,7,Q220,Q242703
HerculeIIEste,https://www.wikidata.org/wiki/Q1348702,Hercule II,Hercule II d',Este,1508-04-05,Ferrare,1559-10-03,Ferrare,personnage politique,"duc de Ferrare, de Modène et de Reggio d'Emilie",,4,7,Q13362,Q13362
CamilloBoccaccino,http://www.wikidata.org/entity/Q1029340,,Camilo,Boccaccino,1505,Cremone,1546,Cremone,"artiste,peintre",peintre italien,,4,7,Q6231,Q6231
FrancoisDuQuesnoy,http://www.wikidata.org/entity/Q960381,,François du,Quesnoy,1597-01-12,Bruxelles,1643-07-12,Livourne,"artiste,sculpteur",sculpteur flamand,,4,7,Q239,Q6761
TaddeoGaddi,http://www.wikidata.org/entity/Q315835,,Taddeo,Gaddi,1300,Florence,1366,Florence,"artiste,peintre",peintre italien,,4,7,Q2044,Q2044
Archite,,,,Archite,,,,,non identifié,,,2,7,,
FrancoisII,https://www.wikidata.org/wiki/Q132548,François II,,François II,1544-01-19,Fontainebleau,1560-12-05,Orleans,personnage politique,roi de France de 1559 à 1560,,4,7,Q182872,Q6548
AbrahamBloemaert,http://www.wikidata.org/entity/Q329811,,Abraham,Bloemaert,1564-12-25,Gorinchem,1651-01-27,Utrecht,"artiste,peintre,graveur(euse)",peintre et graveur néerlandais (1564–1651),,4,7,Q244327,Q803
Germanicus,https://www.wikidata.org/wiki/Q191039,,,Germanicus,-15-05-24,Rome,19-10-10,Antioche,personnage politique,homme politique et général romain,,4,7,Q220,Q200441
AntonioCarracci,http://www.wikidata.org/entity/Q2624075,,Antonio,Caracci,1583,Venise,1618-04-08,Rome,"artiste,peintre",peintre français,,4,7,Q641,Q220
PieII,https://www.wikidata.org/wiki/Q101437,Pie II,Enea Silvio,Piccolomini,1405-10-18,Q91341,1464-08-14,Ancone,pape,"210e pape de l'Église catholique, de 1458 à 1464",,4,7,Q91341,Q3415
JulienDeMedicis,https://www.wikidata.org/wiki/Q333340,,Julien de,Médicis,1479-03-12,Florence,1516-03-17,Florence,personnage politique,"noble italien, troisième fils de Laurent dit Le Magnifique",,4,7,Q2044,Q2044
DossoDossi,http://www.wikidata.org/entity/Q356777,Dosso Dossi,Giovanni,di Niccolò de Lutero,1480,Q100065,1542-08,Ferrare,"artiste,peintre",peintre italien,,4,7,Q100065,Q13362
RogerDePiles,http://www.wikidata.org/entity/Q941981,,Roger de,Piles,1635-10-07,Q213294,1709-04-05,Paris,"artiste,peintre,graveur(euse),auteur(e) de textes,personnage politique","peintre, graveur, théoricien de l'art et diplomate français",,4,7,Q213294,Q90
Claude,https://www.wikidata.org/wiki/Q1411,,Tiberius Claudius,Drusus,-10-08-01,Q665,54-10-13,Rome,personnage politique,quatrième empereur romain de 41 à 54,,4,7,Q665,Q220
Lorenzetto,http://www.wikidata.org/entity/Q1363951,Lorenzo Lotti,Lorenzo,di Lodovico di Guglielmo ,1490-06-23,Florence,1541,Rome,"artiste,architecte,sculpteur","orfèvre, sculpteur et architecte florentin",,4,7,Q2044,Q220
PallaRucellai,,,Palla,Rucellai,,,,,non identifié,,,2,7,,
JeanChalette,http://www.wikidata.org/entity/Q3171196,,Jean,Chalette,1581-12-27,Troyes,1644-10-02,Toulouse,"artiste,peintre",peintre français,,4,7,Q5489,Q7880
GiambattistaCastaldo,https://www.wikidata.org/wiki/Q126895,,Giambattista,Castaldo,1493,Q3877645,1563-01-06,Milan,personnage politique,condottière italien,,4,7,Q3877645,Q490
FlavioBiondo,https://www.wikidata.org/wiki/Q434834,,Flavio,Biondo,1388,Q13367,1463-06-04,Rome,auteur(e) de textes,"historien, archéologue et humaniste italien",,4,7,Q13367,Q220
PieV,https://www.wikidata.org/wiki/Q131945,Pie V,Antonio,Ghislieri,1504-01-17,Q17283,1572-05-01,Rome,pape,"225e pape de l'Église catholique, de 1566 à 1572",,4,7,Q17283,Q220
MarcoDente,http://www.wikidata.org/entity/Q712750,Marco da Ravenna,Marco,Dente,1493,Ravenna,1527,Rome,"artiste,graveur(euse)",graveur italien (vers 1493 - 1527),,4,7,Q13364,Q220
